op_slug,country_slug
operation-onymous,netherlands
operation-onymous,romania
operation-onymous,spain
operation-onymous,sweden
operation-onymous,switzerland
operation-onymous,united-kingdom
operation-onymous,united-states
operation-orion-international,argentina
operation-orion-international,bolivia
operation-orion-international,brazil
operation-orion-international,chile
operation-orion-international,colombia
operation-orion-international,ecuador
operation-orion-international,guyana
operation-orion-international,paraguay
operation-orion-international,peru
operation-orion-international,suriname
operation-orion-international,uruguay
operation-orion-international,venezuela
operation-pleiades,australia
operation-pleiades,austria
operation-pleiades,bosnia-and-herzegovina
operation-pleiades,france
operation-pleiades,germany
operation-pleiades,japan
operation-pleiades,romania
operation-pleiades,switzerland
operation-pleiades,united-kingdom
operation-pleiades,united-states
operation-power-off,australia
operation-power-off,brazil
operation-power-off,canada
operation-power-off,finland
operation-power-off,france
operation-power-off,germany
operation-power-off,japan
operation-power-off,latvia
operation-power-off,netherlands
operation-power-off,poland
operation-power-off,portugal
operation-power-off,romania
operation-power-off,sweden
operation-power-off,united-kingdom
operation-power-off,united-states
operation-red-card,benin
operation-red-card,cote-divoire
operation-red-card,nigeria
operation-red-card,rwanda
operation-red-card,south-africa
operation-red-card,togo
operation-red-card,zambia
operation-rewired,france
operation-rewired,ghana
operation-rewired,italy
operation-rewired,japan
operation-rewired,kenya
operation-rewired,malaysia
operation-rewired,nigeria
operation-rewired,turkey
operation-rewired,united-kingdom
operation-rewired,united-states
operation-secreto,austria
operation-secreto,denmark
operation-secreto,greece
operation-secreto,spain
operation-secreto,united-states
operation-sentinel-africa,benin
operation-sentinel-africa,botswana
operation-sentinel-africa,burkina-faso
operation-sentinel-africa,cameroon
operation-sentinel-africa,chad
operation-sentinel-africa,congo
operation-sentinel-africa,democratic-republic-of-the-congo
operation-sentinel-africa,djibouti
operation-sentinel-africa,gabon
operation-sentinel-africa,ghana
operation-sentinel-africa,kenya
operation-sentinel-africa,malawi
operation-sentinel-africa,nigeria
operation-sentinel-africa,senegal
operation-sentinel-africa,south-africa
operation-sentinel-africa,south-sudan
operation-sentinel-africa,uganda
operation-sentinel-africa,zambia
operation-sentinel-africa,zimbabwe
operation-source,eu-member-states
operation-source,netherlands
operation-source,united-states
operation-stream-kidflix,germany
operation-stream-kidflix,netherlands
operation-talent,australia
operation-talent,france
operation-talent,germany
operation-talent,greece
operation-talent,italy
operation-talent,romania
operation-talent,spain
operation-talent,united-states
operation-trojan-shield,australia
operation-trojan-shield,germany
