kind,slug,role,core_periphery,partition_value,degree,betweenness,total_brokerage
country,tanzania,participant,core,east-africa,0.0136986301369863,0.0,0
country,thailand,participant,core,southeast-asia,0.1232876712328767,0.0140881299917477,642
country,togo,participant,core,west-africa,0.0136986301369863,0.0,0
country,turkey,participant,core,western-asia,0.0136986301369863,0.0,0
country,uganda,participant,core,unknown,0.0136986301369863,0.0,0
country,ukraine,regional-coordinator,core,eastern-europe,0.1506849315068493,0.0070043552709427,174
country,united-arab-emirates,participant,core,unknown,0.0273972602739726,0.0003275856662141,172
country,united-kingdom,regional-coordinator,core,western-europe,0.4657534246575342,0.0875107501274139,2088
country,united-states,global-liaison,core,north-america,0.6712328767123288,0.2192613238411742,3032
country,uruguay,participant,core,south-america,0.0136986301369863,0.0,0
country,venezuela,participant,core,south-america,0.0136986301369863,0.0,0
country,vietnam,participant,core,unknown,0.0410958904109589,0.0014514397018211,88
country,zambia,participant,core,southern-africa,0.0273972602739726,0.0008541330778899,90
country,zimbabwe,participant,core,unknown,0.0136986301369863,0.0,0
crime_type,bank-fraud-ic,participant,periphery,unknown,0.0136986301369863,0.0,0
crime_type,bec-ic,participant,periphery,cyber-enabled,0.0958904109589041,0.0056134723336006,0
crime_type,carding-fraud-ic,participant,periphery,unknown,0.0410958904109589,0.0050788559208767,0
crime_type,csam-ic,participant,periphery,content-related,0.0410958904109589,0.0008019246190858,0
crime_type,cybercrime-forum-ic,participant,periphery,cyber-dependent,0.0273972602739726,0.0002673082063619,0
crime_type,cybercrime-infrastructure-ic,participant,periphery,cyber-dependent,0.0136986301369863,0.0,0
crime_type,ddos-extortion,participant,periphery,unknown,0.0136986301369863,0.0,0
crime_type,ddos-ic,participant,periphery,cyber-dependent,0.0136986301369863,0.0,0
crime_type,hacking-ic,participant,periphery,cyber-dependent,0.0821917808219178,0.004009623095429,0
crime_type,malware-ic,participant,periphery,cyber-dependent,0.1095890410958904,0.0074846297781341,0
crime_type,money-laundering-ic,participant,core,cyber-enabled,0.0958904109589041,0.012028869286287,0
crime_type,online-fraud-ic,participant,periphery,cyber-enabled,0.3013698630136986,0.061748195669607,0
crime_type,organized-crime-ic,participant,periphery,unknown,0.0136986301369863,0.0,0
crime_type,ransomware-ic,participant,periphery,cyber-dependent,0.1506849315068493,0.0147019513499064,0
crime_type,voice-phishing-ic,participant,periphery,cyber-enabled,0.0136986301369863,0.0,0
