slug,degree,betweenness,closeness,eigenvector
poland-police,0.012048192771084338,0.0,0.25006869809477283,0.007959530261448154
polizia-di-stato,0.012048192771084338,0.0,0.23803330620785865,0.004129409248406386
prosecutor-general-s-office-of-ukraine,0.012048192771084338,0.0,0.25655462974564597,0.007556165686735501
public-prosecutor-s-office-verden-germany,0.012048192771084338,0.0,0.25655462974564597,0.007556165686735501
romania-diicot,0.012048192771084338,0.0,0.24936822555109,0.008598201231096808
romanian-police,0.012048192771084338,0.0,0.2445726827520306,0.002914245769026195
russian-ministry-of-interior,0.012048192771084338,0.0,0.21555558479839984,0.0007141255188718926
seoul-metropolitan-police,0.012048192771084338,0.0,0.007246376811594202,1.0841834445644118e-91
singapore-police,0.012048192771084338,0.0,0.18508203019072586,0.0003228540035706804
supreme-prosecutor-s-office-of-cassation-of-bulgaria,0.012048192771084338,0.0,0.25655462974564597,0.007556165686735501
team-cymru,0.012048192771084338,0.0,0.1890115849718453,0.0001175422820778613
thailand-royal-police,0.012048192771084338,0.0,0.21766370787711278,0.0028232973348899662
u-s-attorney-s-office-for-the-western-district-of-pennsylvania,0.012048192771084338,0.0,0.25655462974564597,0.007556165686735501
unodc,0.012048192771084338,0.0,0.17804891304347825,2.470615965180962e-05
us-postal-inspection,0.012048192771084338,0.0,0.19652197907668684,0.0006938516551589153
