excel_sheet,excel_row,year,operation_name_raw,operation_name_canonical_candidate,source_url,matched_source_slug,matched_operation_slug,excel_agencies,wiki_agencies,excel_countries,wiki_countries,excel_crime_types,wiki_crime_types,review_status,review_note
2_데이터추출(국가_기관_범죄유형),27,2017,(가칭)Operation Fiji Fraud,operation-fiji-fraud,https://www.arabnews.com/node/1141451/world,,imminent-monitor-rat-takedown,,australia-afp;eurojust;europol-ec3,china,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected;no_clear_international_cooperation_signal
2_데이터추출(국가_기관_범죄유형),28,2017,(가칭)Operation QatarLeak,operation-qatarleak,https://www.aljazeera.com/news/2017/6/7/qatar-reveals-preliminary-results-of-qna-hacking-probe,,imminent-monitor-rat-takedown,fbi-cyber-division;uk-nca,australia-afp;eurojust;europol-ec3,united-kingdom;united-states,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected
2_데이터추출(국가_기관_범죄유형),30,2018,Operation Power Off,operation-power-off,https://www.welivesecurity.com/2018/04/27/worlds-biggest-ddos-marketplace/,,operation-power-off,dutch-police;europol-ec3;fbi-cyber-division;uk-nca;us-doj,australia-afp;canada-rcmp;europol-ec3;fbi-cyber-division;germany-bka;japan-npa;netherlands-politie;uk-nca;us-doj,australia;canada;croatia;germany;italy;netherlands;serbia;spain;united-kingdom;united-states,australia;brazil;canada;finland;france;germany;japan;latvia;netherlands;poland;portugal;romania;sweden;united-kingdom;united-states,,,out_of_scope_or_non_ic,no_target_five_crime_type_detected
2_데이터추출(국가_기관_범죄유형),31,2018,Operation WireWire,operation-wirewire,https://www.fbi.gov/news/stories/international-bec-takedown-061118,2018-06-11_fbi-gov_international-bec-takedown,operation-wirewire,fbi-cyber-division;us-doj,fbi;us-dhs;us-postal-inspection;us-treasury;usdoj,canada;poland;united-states,canada;mauritius;nigeria;poland;united-states,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected
2_데이터추출(국가_기관_범죄유형),32,2018,(가칭)Operation MoneyTaker,operation-moneytaker,https://cyberscoop.com/money-taker-group-ib-banking-hack-russia/,,imminent-monitor-rat-takedown,,australia-afp;eurojust;europol-ec3,russia;united-kingdom;united-states,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected
2_데이터추출(국가_기관_범죄유형),33,2018,(가칭)Operation Manila Gamble,operation-manila-gamble,https://www.gmanetwork.com/news/topstories/metro/676254/15-chinese-nationals-arrested-for-illegal-online-gambling/story/,,imminent-monitor-rat-takedown,,australia-afp;eurojust;europol-ec3,china,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected;no_clear_international_cooperation_signal
2_데이터추출(국가_기관_범죄유형),34,2018,(가칭)Operation EagleNet,operation-eaglenet,https://www.vanguardngr.com/2018/06/efcc-fbi-partner-fight-cybercrime/,,imminent-monitor-rat-takedown,fbi-cyber-division,australia-afp;eurojust;europol-ec3,united-states,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected;no_clear_international_cooperation_signal
2_데이터추출(국가_기관_범죄유형),35,2018,(가칭)Operation CardStorm,operation-cardstorm,https://www.bbc.com/news/uk-43893420,bbc-banking-trojan-fraud-sentencing,imminent-monitor-rat-takedown,fbi-cyber-division;uk-nca,australia-afp;eurojust;europol-ec3,france;germany;united-kingdom;united-states,australia;colombia;czech-republic;netherlands;poland;spain;sweden;united-kingdom,,malware-ic,out_of_scope_or_non_ic,no_target_five_crime_type_detected
2_데이터추출(국가_기관_범죄유형),38,2018,(가칭)Operation RexMundi,operation-rexmundi,https://www.europol.europa.eu/media-press/newsroom/news/french-coder-who-helped-extort-british-company-arrested-in-thailand,2018-05-18_europol-europa-eu_french-coder-who-helped-extort-british-company-arrested-in-thailand,operation-europol-french-coder-who-helped-extort-british-company-arrested-in-thailand,europol-ec3,europol-ec3,france;united-kingdom,belgium;france;thailand;united-kingdom,,,out_of_scope_or_non_ic,no_target_five_crime_type_detected
2_데이터추출(국가_기관_범죄유형),40,2019,Charlie Foxter,operation-charlie-foxter,https://www.aljazeera.com/news/2019/12/24/nepal-detains-122-chinese-for-suspected-cybercrime-bank-fraud,,,interpol,,china,,,,out_of_scope_or_non_ic,no_target_five_crime_type_detected
